S.No,Candidate,Party,EVM Votes,Postal Votes,Total Votes,Percentage of votes
14,JASVIR SINGH,Independent,1128,8,1136,0.08
15,NAVEEN KUMAR COMMANDO,Independent,1113,3,1116,0.08
16,SUKHDEV SINGH SANDHU,Independent,993,6,999,0.07
17,DR. RAJESH MEHANDIA,Bahujan Republican Socialist Party,931,0,931,0.07
18,DHARAMPAL VARTIA,Loktantrik Lok Rajyam Party,916,3,919,0.07
19,SURENDER KUMAR PHULAN,Independent,614,3,617,0.05
20,NOTA,None of the Above,4106,17,4123,0.3
1,JAI PARKASH (J P) S/O HARIKESH,Indian National Congress,567194,3230,570424,48.58
2,RANJIT SINGH,Bharatiya Janata Party,504944,2099,507043,43.19
3,DESH RAJ,Bahujan Samaj Party,25892,123,26015,2.22
4,SUNAINA CHAUTALA,Indian National Lok Dal,22171,132,22303,1.9
5,NAINA SINGH CHAUTALA,Jannayak Janta Party,21910,122,22032,1.88
6,PARDEEP DAHIYA,Independent,3607,1,3608,0.31
7,JAI PRAKASH (J.P.) S/O UMA DUTT,Independent,3267,6,3273,0.28
8,JILE SINGH,Independent,3196,0,3196,0.27
9,POONAM MOR,Independent,1237,4,1241,0.11
10,ISHWAR JHAJHRIA,Independent,1121,1,1122,0.1
11,ATMA RAM BISHNOI,Independent,1091,6,1097,0.09
12,KULBIR,Independent,1041,0,1041,0.09
13,CHANDER MOHAN,Independent,995,3,998,0.09
14,ADVOCATE PARDEEP SIHMAR,Peoples Party of India (Democratic),871,5,876,0.07
15,AJIT SINGH,Independent,794,2,796,0.07
16,DEV GIRI,Rashtriya Lokswaraj Party,719,7,726,0.06
17,DINESH KUMAR,Independent,699,4,703,0.06
18,MASTER VIJENDER JITPURA,Socialist Unity Centre Of India (COMMUNIST),654,3,657,0.06
19,RAJENDER KUMAR,Independent,485,1,486,0.04
20,NEERAJ KUMAR “CHHATTAR”,Bharatiya Asha Party,419,4,423,0.04
21,MANDEEP,Independent,404,1,405,0.03
22,JAGAT SINGH,Vikas India Party,374,8,382,0.03
23,PARJAPATI RAKESH DHUWARIA,Independent,372,2,374,0.03
24,RANDHIR SINGH,Independent,352,1,353,0.03
25,SURENDER KUMAR,Independent,326,0,326,0.03
26,SURENDER,Independent,308,0,308,0.03
27,VIJAY SINGH,Independent,270,2,272,0.02
28,YOGESH BOORA,Independent,267,2,269,0.02
29,NOTA,None of the Above,3333,33,3366,0.29
1,MANOHAR LAL,Bharatiya Janata Party,737282,2003,739285,54.93
2,DIVYANSHU BUDHIRAJA,Indian National Congress,504437,2271,506708,37.65
3,INDER SINGH,Bahujan Samaj Party,32410,98,32508,2.42
4,MARATHA VIRENDER VERMA,Nationalist Congress Party – Sharadchandra Pawar,28984,167,29151,2.17
5,DEVENDER KADIAN,Jannayak Janta Party,11399,68,11467,0.85
6,MANOJ BANSAL,Independent,4000,4,4004,0.3
7,GULSHAN KASHYAP,Independent,2987,7,2994,0.22
8,ASHOK KATARIA,Samst Samaj Party,2898,6,2904,0.22
9,HARJEET SINGH VIRK,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),1857,9,1866,0.14
10,SONIA,Independent,1846,5,1851,0.14
11,MANISH,Independent,1587,0,1587,0.12
12,LEENA KOHLI,Independent,1281,11,1292,0.1
13,NITIN GEHLOT,Peoples Party of India (Democratic),1252,1,1253,0.09
14,BALWAN SINGH,Independent,1186,2,1188,0.09
15,VINEET CHOUDHARY,Bharatiya Asha Party,1018,2,1020,0.08
16,ROOP SINGH,Rashtriya Garib Dal,766,3,769,0.06
17,SAWAMI AGNIVESH,Independent,748,4,752,0.06
18,AZAD SINGH PUNIA,Independent,703,2,705,0.05
19,ASHOK KUMAR,Independent,631,2,633,0.05
20,NOTA,None of the Above,3925,30,3955,0.29
1,SATPAL BRAHAMCHARI,Indian National Congress,546163,2519,548682,48.82
2,MOHAN LAL BADOLI,Bharatiya Janata Party,525069,1797,526866,46.88
3,UMESH KUMAR,Bahujan Samaj Party,12742,80,12822,1.14
4,ANOOP SINGH,Indian National Lok Dal,11384,139,11523,1.03
5,BHUPENDER SINGH MALIK,Jannayak Janta Party,7716,104,7820,0.7
6,SANT DHARAMVEER CHOTIVALA,Independent,2150,4,2154,0.19
7,RAMESH,Independent,1651,0,1651,0.15
8,NARESH KASHYAP,Aam Aadmi Parivartan Party,1622,36,1658,0.15
9,SATPAL,Independent,1215,2,1217,0.11
10,GAUBHAGAT SUMIT LATHER,Independent,877,5,882,0.08
11,DR. KAMLESH KUMAR SAINI,Independent,863,3,866,0.08
12,ROHTASH,Independent,775,2,777,0.07
13,BALBIR SINGH,Socialist Unity Centre Of India (COMMUNIST),765,3,768,0.07
14,ASHWANI,Independent,694,1,695,0.06
15,SANJAY DASS,Independent,569,3,572,0.05
16,JAGBEER,Independent,521,3,524,0.05
17,SUNIL KUMAR,Rashtriya Garib Dal,456,11,467,0.04
18,RADHEY SHYAM,Peoples Party of India (Democratic),438,3,441,0.04
19,RAKESH,Samata Party,407,3,410,0.04
20,NIRMAL SINGH,Independent,317,1,318,0.03
21,SURENDER SINGH,Independent,295,1,296,0.03
22,RAKESH DHARIWAL,Rashtriya Jatigat Aarakshan Virodhi Party,214,1,215,0.02
23,NOTA,None of the Above,2287,33,2320,0.21
1,DEEPENDER SINGH HOODA,Indian National Congress,778259,5319,783578,62.76
2,DR. ARVIND KUMAR SHARMA,Bharatiya Janata Party,435028,3252,438280,35.11
3,RAVINDER,Jannayak Janta Party,6209,41,6250,0.5
4,RAKESH SINGH,Rashtrawadi Janlok Party (Satya),2706,8,2714,0.22
5,BISHAMBAR KUMAR,Independent,2394,0,2394,0.19
6,KALAWATI,Independent,2135,15,2150,0.17
7,PARVEEN KUMAR,Independent,1927,1,1928,0.15
8,UDEVIR,Independent,1530,2,1532,0.12
9,VINOD KUMAR,Peoples Party of India (Democratic),805,4,809,0.06
10,ASHOK KUMAR,Independent,627,2,629,0.05
11,VISHESH BAMEL,Bharatiya Asha Party,613,5,618,0.05
12,JAIKARAN MANDAUTHI,Socialist Unity Centre Of India (COMMUNIST),600,7,607,0.05
13,JAGBIR SINGH,Bharatheeya Jawan Kisan Party,574,19,593,0.05
14,SATISH KUMAR,Independent,524,0,524,0.04
15,SURENDER,Aam Aadmi Parivartan Party,447,23,470,0.04
16,MANISHA,Independent,410,21,431,0.03
17,ARVIND KUMAR SHARMA,Independent,360,7,367,0.03
18,SATISH KUMAR,Ekam Sanatan Bharat Dal,359,4,363,0.03
19,ARVIND,Independent,330,0,330,0.03
20,ADVOCATE ADITYA DHANKHAR,Super Power India Party,275,12,287,0.02
21,MASTER RANDHIR SINGH,Independent,267,2,269,0.02
22,MANJEET,Independent,267,2,269,0.02
23,SANJAY,Independent,210,2,212,0.02
24,YOGESH SHARMA,Independent,190,0,190,0.02
25,VINAY,Independent,156,3,159,0.01
26,LALIT KUMAR,Independent,129,2,131,0.01
27,NOTA,None of the Above,2321,41,2362,0.19
1,DHARAMBIR SINGH,Bharatiya Janata Party,582735,5929,588664,49.74
2,RAO DAN SINGH,Indian National Congress,541926,5228,547154,46.24
3,BAHADUR SINGH,Jannayak Janta Party,15076,189,15265,1.29
4,SUNIL KUMAR SHARMA,Bahujan Samaj Party,6239,97,6336,0.54
5,SUBHASH,Rashtrawadi Janlok Party (Satya),4663,32,4695,0.4
6,HEMANT,Independent,3876,5,3881,0.33
7,SEEMA,Independent,2961,18,2979,0.25
8,VED PRAKASH,Independent,1897,3,1900,0.16
9,ANAND KUMAR,Bharatheeya Jawan Kisan Party,1642,26,1668,0.14
10,YOGBIR SINGH,Independent,1473,5,1478,0.12
11,VARSHA,Independent,993,60,1053,0.09
12,BALWAN,Peoples Party of India (Democratic),854,3,857,0.07
13,ROHTASH,Socialist Unity Centre Of India (COMMUNIST),637,3,640,0.05
14,JAI SINGH,Independent,442,9,451,0.04
15,BHARAT BHUSHAN,Bhartiya Shakti Chetna Party,440,3,443,0.04
16,ENGINEER MAHAVIR SINGH YADAV,Independent,406,9,415,0.04
17,JAGDISH,Independent,219,10,229,0.02
18,NOTA,None of the Above,5188,99,5287,0.45
1,RAO INDERJIT SINGH,Bharatiya Janata Party,805161,3175,808336,50.48
2,RAJ BABBAR,Indian National Congress,731696,1561,733257,45.79
3,RAHUL YADAV FAZILPURIA,Jannayak Janta Party,13214,64,13278,0.83
4,VIJAY KHATANA,Bahujan Samaj Party,8900,46,8946,0.56
5,SORAB KHAN,Indian National Lok Dal,4897,20,4917,0.31
6,AJAY KUMAR,Independent,3527,1,3528,0.22
7,ASHOK JANGRA,Independent,3002,3,3005,0.19
8,AZAD SINGH,Independent,2744,1,2745,0.17
9,AKSHAT GAIT,Independent,2549,1,2550,0.16
10,LAL CHAND YADAV,Bharatheeya Jawan Kisan Party,2214,8,2222,0.14
11,SAMAY SINGH,Independent,1885,2,1887,0.12
12,DHARMENDER THAKRAN,Swayam Shashan Party,1402,6,1408,0.09
13,VIJAY YADAV,Jan Sewak Kranti Party,1120,0,1120,0.07
14,ISHWAR SINGH SUTHANI,Peoples Party of India (Democratic),1110,4,1114,0.07
15,COMRADE SARWAN KUMAR GUPTA,Socialist Unity Centre Of India (COMMUNIST),1066,8,1074,0.07
16,VANDNA GULIYA,Right to Recall Party,980,20,1000,0.06
17,SAMPOORN ANAND,Rashtriya Lokswaraj Party,911,4,915,0.06
18,KUSHESHWAR BHAGAT,Independent,794,0,794,0.05
19,SINGH RAM,Independent,789,2,791,0.05
20,ANWAR,Social Democratic Party Of India,572,6,578,0.04
21,FAUJI JAI KAWAR TYAGI (DIXIT),Independent,469,5,474,0.03
22,AKASH VYAS,Bhartiya Shakti Chetna Party,436,3,439,0.03
23,VISHNU,Independent,436,1,437,0.03
24,NOTA,None of the Above,6377,40,6417,0.4
