S.No,Candidate,Party,EVM Votes,Postal Votes,Total Votes,Percentage of votes
1,VEENA DEVI,Lok Janshakti Party(Ram Vilas),566225,818,567043,48.38
2,VIJAY KUMAR SHUKLA,Rashtriya Janata Dal,476199,1210,477409,40.73
3,VIKKY KUMAR,Independent,34253,3,34256,2.92
4,SHAMBHU KUMAR SINGH,Bahujan Samaj Party,21367,69,21436,1.83
5,RAJ NARAYAN YADAV,Independent,9614,2,9616,0.82
6,PARAMHANS SINGH,Independent,5316,1,5317,0.45
7,HARI NARAYAN RAM,Viro Ke Vir Indian Party,5097,3,5100,0.44
8,RAMESHWAR MAHTO,Bhartiya Sarthak Party,4141,9,4150,0.35
9,KUMAR SHISHIR,Independent,3903,4,3907,0.33
10,MUHAMAD AVAS,Independent,3758,0,3758,0.32
11,ABHA RAY,Peoples Party of India (Democratic),3263,11,3274,0.28
12,NARESH RAM,Socialist Unity Centre Of India (COMMUNIST),2998,11,3009,0.26
13,VINOD KUMAR SHARMA,Jantantra Awaj Party,2929,5,2934,0.25
14,ANIKET RAJ,Rashtriya Samaj Paksha,2018,7,2025,0.17
15,BALENDRA TIWARY,Hindustan Janta Party Secular,1360,6,1366,0.12
16,NOTA,None of the Above,27420,40,27460,2.34
1,DR. ALOK KUMAR SUMAN,Janata Dal (United),510329,1537,511866,48.15
2,PREM NATH CHANCHAL ALIAS CHANCHAL PASWAN,Vikassheel Insaan Party,383065,1621,384686,36.19
3,DINANATH MANJHI,All India Majlis-E-Ittehadul Muslimeen,29900,92,29992,2.82
4,SUJEET KUMAR RAM,Bahujan Samaj Party,29145,127,29272,2.75
5,ANIL RAM,Independent,12988,14,13002,1.22
6,SATYENDRA BAITHA,Independent,12253,16,12269,1.15
7,BHOLA HARIJAN,Independent,11138,2,11140,1.05
8,RAM KUMAR MANJHI,Gana Suraksha Party,8531,9,8540,0.8
9,NAMI RAM,Independent,6716,0,6716,0.63
10,SURENDRA RAM,Bhartiya Rashtriya Dal,6673,39,6712,0.63
11,JITENDRA RAM,Bahujan Mukti Party,5942,27,5969,0.56
12,NOTA,None of the Above,42713,150,42863,4.03
1,VIJAYLAKSHMI DEVI,Janata Dal (United),385625,883,386508,38.73
2,HENA SHAHAB,Independent,293084,567,293651,29.42
3,AWADH BIHARI CHOUDHARY,Rashtriya Janata Dal,198063,760,198823,19.92
4,SATYENDRA KUSHWAHA,Independent,21558,7,21565,2.16
5,JEEWAN KUMAR,Independent,18489,101,18590,1.86
6,DILIP KU SINGH,Bahujan Samaj Party,12032,80,12112,1.21
7,SANJAY KUMAR SAH,Bhartiya Lok Nayak Party,8851,28,8879,0.89
8,DR. RAVINDRA NATH SHUKLA,Independent,8681,12,8693,0.87
9,DEVKANT MISHRA,Independent,6162,19,6181,0.62
10,PRAMOD KUMAR,Independent,5666,2,5668,0.57
11,PRAKASH MANI TIWARI,Independent,4503,6,4509,0.45
12,MAHENDRA SINGH ALIAS MAHENDRA RAI,Independent,3920,2,3922,0.39
13,DILIP KUMAR SINGH,Independent,1947,6,1953,0.2
14,NOTA,None of the Above,26925,39,26964,2.7
1,"JANARDAN SINGH ""SIGRIWAL""",Bharatiya Janata Party,527974,1559,529533,52.22
2,AAKASH KUMAR SINGH,Indian National Congress,425887,995,426882,42.09
3,TRIBHUWAN RAM,Peoples Party of India (Democratic),14830,8,14838,1.46
4,MADHUSUDAN SINGH,Bahujan Samaj Party,13359,43,13402,1.32
5,AKHILESHWAR PRASAD SINGH,All India Majlis-E-Ittehadul Muslimeen,7750,17,7767,0.77
6,NOTA,None of the Above,21662,25,21687,2.14
1,DR.SANJAY JAISWAL,Bharatiya Janata Party,578959,1462,580421,53.43
2,MADAN MOHAN TIWARI,Indian National Congress,441363,2490,443853,40.86
3,SANJAY KUMAR,Viro Ke Vir Indian Party,13139,6,13145,1.21
4,UPENDRA RAM,Bahujan Samaj Party,10913,49,10962,1.01
5,MOHAMMAD SOAIB,Independent,8992,2,8994,0.83
6,RAUSHAN KUMAR SRIVASTAVA,Independent,8496,9,8505,0.78
7,MD. KALAM SAI,Independent,4922,3,4925,0.45
8,NAFISH AHMAD,Independent,4163,0,4163,0.38
9,NOTA,None of the Above,11223,65,11288,1.04
1,RAJIV PRATAP RUDY,Bharatiya Janata Party,470234,1518,471752,46.18
2,ROHINI ACHARYA,Rashtriya Janata Dal,456763,1328,458091,44.84
3,LAXAMAN PRAO YADAV,Independent,22041,2,22043,2.16
4,SHAK NAUSHAD,Independent,16101,2,16103,1.58
5,AVINASH KUMAR,Bahujan Samaj Party,14708,62,14770,1.45
6,RAGHWENDRA PRATAP SINGH,Independent,5165,2,5167,0.51
7,GAJENDRA PRASAD CHAURSIYA,Janhit Kisan Party,5025,5,5030,0.49
8,SHATRUDHAN TIWARY,Bhartiya Sarthak Party,3661,26,3687,0.36
9,MOHAMAD SALIM,Independent,3148,3,3151,0.31
10,ARTI KUMARI,Independent,3009,14,3023,0.3
11,PRABHAT KUMAR,Independent,2302,4,2306,0.23
12,BARUN KUMAR DAS,Gana Suraksha Party,1770,5,1775,0.17
13,GYANI KUMAR SHARMA,Bharatiya Ekta Dal,1699,5,1704,0.17
14,RAJESH KUSHWAHA,Bhartiya Lok Chetna Party,1486,3,1489,0.15
15,NOTA,None of the Above,11382,35,11417,1.12
1,CHIRAG PASWAN,Lok Janshakti Party(Ram Vilas),613106,2612,615718,53.29
2,SHIV CHANDRA RAM,Rashtriya Janata Dal,442553,3060,445613,38.57
3,SURENDRA KUMAR PASWAN,Independent,17241,4,17245,1.49
4,SHASHI SWARAJ,Bahujan Samaj Party,8591,88,8679,0.75
5,HARIWANSH PASWAN,Independent,7113,4,7117,0.62
6,SHAILENDRA KUMAR,Independent,6153,8,6161,0.53
7,ASHOK KUMAR,Samata Party,4701,20,4721,0.41
8,RANDHIR PASWAN,Independent,2671,4,2675,0.23
9,RAJ KUMAR PASWAN,Yuva Bihar Sena,1983,7,1990,0.17
10,DHARMENDRA KUMAR,Jantantra Awaj Party,1971,7,1978,0.17
11,MADHUSUDHAN PASWAN,Independent,1793,8,1801,0.16
12,RAJESH KUMAR RAUSHAN,Socialist Unity Centre Of India (COMMUNIST),1694,7,1701,0.15
13,MEGHNATH PASWAN,Independent,1680,0,1680,0.15
14,BALENDRA DAS,Janshakti Janta Dal,1308,10,1318,0.11
15,NOTA,None of the Above,36836,91,36927,3.2
1,NITYANAND RAI,Bharatiya Janata Party,515159,806,515965,49.51
2,ALOK KUMAR MEHTA,Rashtriya Janata Dal,454870,993,455863,43.75
3,SANJAY PASWAN,Independent,16961,2,16963,1.63
4,MOHAN KUMAR MAURYA,Bahujan Samaj Party,7081,20,7101,0.68
5,RAKESH KUMAR,Independent,5953,4,5957,0.57
6,SANTHOSH RAI,Rashtriya Jansambhavna Party,4423,3,4426,0.42
7,NARENDRA GIRI,Independent,3150,1,3151,0.3
8,KISHOR KUMAR,Independent,2209,0,2209,0.21
9,AMARESH RAY,Independent,2140,3,2143,0.21
10,ANSHU KUMAR,Subhashwadi Bhartiya Samajwadi Party (Subhas Party),1749,7,1756,0.17
11,RAMPUKAR RAY,Socialist Unity Centre Of India (COMMUNIST),1299,7,1306,0.13
12,NIKKI JHA,Jagrook Janta Party,1006,14,1020,0.1
13,MANOJ KUMAR,Janta Raj Vikas Party,937,2,939,0.09
14,NOTA,None of the Above,23246,23,23269,2.23
1,GIRIRAJ SINGH,Bharatiya Janata Party,646912,2419,649331,50.15
2,ABDHESH KUMAR ROY,Communist Party of India,564310,3541,567851,43.86
3,INDRAJEET KUMAR ROY,Independent,12947,6,12953,1.0
4,RAJNISH KUMAR MUKHIYA,Rashtriya Jansambhavna Party,10846,26,10872,0.84
5,ADV CHANDAN KUMAR DAS,Bahujan Samaj Party,8362,91,8453,0.65
6,RAM BADAN RAI,Karpoori Janta Dal,6599,45,6644,0.51
7,MD SHAHNAWAZ HASSAN,Independent,6144,8,6152,0.48
8,ARUN KUMAR,Independent,4030,15,4045,0.31
9,RAJ KUMAR SAH,Akhil Bhartiya Parivar Party,3329,21,3350,0.26
10,RAMUDGAR,Socialist Unity Centre Of India (COMMUNIST),2633,7,2640,0.2
11,NOTA,None of the Above,22283,99,22382,1.73
1,RAJESH VERMA,Lok Janshakti Party(Ram Vilas),537331,1326,538657,50.73
2,SANJAY KUMAR,Communist Party of India (Marxist),375988,1538,377526,35.55
3,RUPAM DEVI,Independent,27370,25,27395,2.58
4,SONU KUMAR,Independent,24478,5,24483,2.31
5,PINKESH KUMAR,Rashtriya Jan Kalyan Party Secular,19487,8,19495,1.84
6,DR RAVI KUMAR,Bahujan Samaj Party,13894,159,14053,1.32
7,AJAY KUMAR,Rashtriya Jansambhavna Party,8256,54,8310,0.78
8,PRIYADARSHEE DINKAR,Independent,7892,12,7904,0.74
9,DINANATH CHANDRAVANSHI,Independent,6142,20,6162,0.58
10,CHANDRA KISHOR THAKUR,Aam Janta Party Rashtriya,2806,43,2849,0.27
11,ASIF IMAM,Aadarsh Mithila Party,2434,9,2443,0.23
12,KANCHAN MALA,Hindustan People's Party (Democratic),1478,28,1506,0.14
13,NOTA,None of the Above,31056,55,31111,2.93
1,AJAY KUMAR MANDAL,Janata Dal (United),534923,1108,536031,50.38
2,AJEET SHARMA,Indian National Congress,430025,1138,431163,40.52
3,POONAM SINGH,Bahujan Samaj Party,12547,99,12646,1.19
4,HARERAM YADAV,Independent,12255,3,12258,1.15
5,DEEPAK KUMAR SINGH,Rashtriya Jansambhavna Party,7654,16,7670,0.72
6,CHHOTE LAL KUMAR,Independent,6677,6,6683,0.63
7,RAMESH TUDU,Independent,6629,5,6634,0.62
