S.No,Candidate,Party,EVM Votes,Postal Votes,Total Votes,Percentage of votes
17,CHINTHALACHERUVU HEMALATHA,Jai Maha Bharath Party,239,5,244,0.02
18,NOTA,None of the Above,9038,155,9193,0.67
1,DR CHANDRA SEKHAR PEMMASANI,Telugu Desam,851020,13928,864948,60.68
2,KILARI VENKATA ROSAIAH,Yuvajana Sramika Rythu Congress Party,513563,6690,520253,36.5
3,JANGALA AJAY KUMAR,Communist Party of India,8317,320,8637,0.61
4,SIVAREDDY. ENDREDDY,Navataram Party,5628,1,5629,0.39
5,TENALI PRAKASH,Bahujan Samaj Party,4172,100,4272,0.3
6,SIKHAKOLLI HEMA GOWRI SHANKAR,Jatiya Jana Sena Party,1959,5,1964,0.14
7,SAMUDRALA CHINNA KOTAIAH,Jaibhim Rao Bharat Party,1748,5,1753,0.12
8,UMAR BHASHA SHAIK,Jana Sahayaka Sakthi,1273,2,1275,0.09
9,SYED. SAIDA,Navarang Congress Party,1216,6,1222,0.09
10,AMBATI CHALAMAIAH,Pyramid Party of India,1029,2,1031,0.07
11,PILLI BABU RAO,Independent,688,4,692,0.05
12,HARI VENKATA SATISH KURNALA,Jai Bharat National Party,540,2,542,0.04
13,VISHNU REDDY LANKIREDDY,Bengaluru Nava Nirmana Party,461,0,461,0.03
14,EMANI. CHANDRASEKHAR RAO,Navodayam Party,409,5,414,0.03
15,SHAIK. KHAJAVALI,Independent,387,4,391,0.03
16,CHALLAPALLI RATAN RAJU,Viduthalai Chiruthaigal Katchi,374,4,378,0.03
17,KANNEBOYINA VAMSI KRISHNA YADAV,Independent,368,7,375,0.03
18,MOHAMMAD KHAJA MOINUDDIN CHISTI PASHA,Andhra Pradesh Rashtra Samithi,353,5,358,0.03
19,GAYATRI AUDHIPUDI,Independent,350,7,357,0.03
20,ASHOK ANAND GALI,Independent,335,0,335,0.02
21,SHAIK ASLAM AKTHER,Independent,334,1,335,0.02
22,PATHAN KHAJA (BASHA),Telugu Rajadhikara Samiti Party,328,4,332,0.02
23,AMARTHALURI VENKATESWARA RAO.,Marxist Communist Party of India (United),308,4,312,0.02
24,DR. RAYAPUDI RAJESH VIJAY KUMAR,Indian Labour Party (Ambedkar Phule),306,4,310,0.02
25,BURAGA RATNAM,Loktantrik Janta Dal,304,12,316,0.02
26,VANKAYALAPATI VENKATA SIVA RAMANJANEYULU,Independent,268,0,268,0.02
27,SIVA PARVATHI,Independent,262,4,266,0.02
28,BOMMASANI MUTYALA RAO,All Peoples Party,200,7,207,0.01
29,SRIKRISHNA AKKISETTI,Independent,179,0,179,0.01
30,MADAVARAPU NAGA RAJU,Independent,172,0,172,0.01
31,NOTA,None of the Above,7210,177,7387,0.52
1,LAVU SRIKRISHNA DEVARAYALU,Telugu Desam,798097,9899,807996,53.88
2,ANIL KUMAR POLUBOINA,Yuvajana Sramika Rythu Congress Party,642186,6081,648267,43.23
3,GARNEPUDI ALEXANDER SUDHAKAR,Indian National Congress,17520,526,18046,1.2
4,ORSU PREMARAJU,Bahujan Samaj Party,5276,33,5309,0.35
5,KUCHIPUDI JOHN BABU,Jaibhim Rao Bharat Party,2328,8,2336,0.16
6,GARLAPATI SUBHASH PREM,Revolutionary Socialist Party,1243,2,1245,0.08
7,YAMPATI VEERANJANEYA REDDY,Independent,1056,1,1057,0.07
8,SUBBARAO CHALLA,Independent,1051,0,1051,0.07
9,ABDUL RAJAK SHAIK,Independent,718,5,723,0.05
10,KOTA POTHURAJU,Pyramid Party of India,667,3,670,0.04
11,P VENKATESH,Jaathia Chethi Vruthula Ikya Vedika Party,385,3,388,0.03
12,PASUPULETI PICHAIAH,National Nava Kranthi Party,353,3,356,0.02
13,PAPPULA SAMBASIVA RAO,Navarang Congress Party,331,1,332,0.02
14,DOCTOR GODA RAMESH KUMAR,Jatiya Jana Sena Party,305,4,309,0.02
15,THOKALA NAGA RAJU,All India Forward Bloc,277,8,285,0.02
16,NOTA,None of the Above,11120,79,11199,0.75
1,KRISHNA PRASAD TENNETI,Telugu Desam,706757,10736,717493,55.16
2,NANDIGAM SURESH BABU,Yuvajana Sramika Rythu Congress Party,503816,5646,509462,39.17
3,J.D. SEELAM,Indian National Congress,41673,1586,43259,3.33
