S.No,Candidate,Party,EVM Votes,Postal Votes,Total Votes,Percentage of votes
1,SRIBHARAT MATHUKUMILI,Telugu Desam,893884,13583,907467,65.42
2,JHANSI LAKSHMI. BOTCHA.,Yuvajana Sramika Rythu Congress Party,397821,5399,403220,29.07
3,P. SATYA REDDY,Indian National Congress,29430,837,30267,2.18
4,K.A. PAUL,Praja Shanthi Party,7529,167,7696,0.55
5,PEDAPENKI SIVA PRASADA RAO,Bahujan Samaj Party,6006,85,6091,0.44
6,BIKKAVOLU. CHALAMAJI,Navarang Congress Party,4883,1,4884,0.35
7,V.N. SATYA NARAYANA,Rashtriya Praja Congress (Secular),2534,3,2537,0.18
8,ARUNA SRI MURALA,Independent,1991,2,1993,0.14
9,VASUPILLI SURESH,Independent,1931,2,1933,0.14
10,SONDI KRISHNA.,Independent,1811,7,1818,0.13
11,ANDUKURI VIJAYA BHASKAR,India Praja Bandhu Party,1098,11,1109,0.08
12,DR. GANAPATHI KONGARAPU.,Republican Party of India (A),944,6,950,0.07
13,BANNA. RAMESH,Dalita Bahujana Party,941,7,948,0.07
14,P. SATYA VANI,Pyramid Party of India,875,7,882,0.06
15,DURGA PRASAD. GUNTU,Bhartiya Rashtriya Dal,760,7,767,0.06
16,CHAPPIDI RAMU,Independent,756,1,757,0.05
17,M.G.M. KHAN,Independent,738,4,742,0.05
18,SHANKAR DEVARA YADAV,Independent,656,5,661,0.05
19,VENU MADHAV KARRI,Independent,646,1,647,0.05
20,DR. ACHUTHA BALAJI YADAV (MURAPALA),Bharatha Chaitanya Yuvajana Party,628,10,638,0.05
21,THOTA VENKATA SAI MUKUND,Praja Prasthanam Party,628,5,633,0.05
22,PIDIDHI APPARAO,Independent,576,4,580,0.04
23,G.A.N. ANAND,Independent,543,0,543,0.04
24,VADDI. HARI GANESH,Independent,518,2,520,0.04
25,JANARDHAN PONNADA.,Independent,499,1,500,0.04
26,GANAPATHI. JAGADEESWARA RAO (JAGADEESH),Jai Maha Bharath Party,494,6,500,0.04
27,JALADI VIJAYA KUMARI,Samajwadi Party,463,3,466,0.03
28,CHINTADA SURYAM,Naba Bharata Nirmana Seva Party,443,5,448,0.03
29,GANDIKOTA RAJESH,Navataram Party,392,1,393,0.03
30,KOLLI NAGA RAJU,Independent,322,7,329,0.02
31,METTA RAMA RAO,Independent,320,6,326,0.02
32,LAGUDU. GOVINDA RAO,Independent,293,1,294,0.02
33,MALLA SRAVANI,Independent,271,2,273,0.02
34,NOTA,None of the Above,5171,142,5313,0.38
1,C.M.RAMESH,Bharatiya Janata Party,750027,12042,762069,57.5
2,BUDI MUTYALA NAIDU,Yuvajana Sramika Rythu Congress Party,459762,5777,465539,35.13
3,VEGI VENKATESH,Indian National Congress,24833,818,25651,1.94
4,PALAKA SREERAMA MURTHY,Bahujan Samaj Party,19082,75,19157,1.45
5,VANKAYALA RAMACHANDRA RAO,Independent,4001,1,4002,0.3
6,LOVARAJU SIDDHA,Independent,3845,7,3852,0.29
7,KRISHNA SWAROOP VADLAMURI,Dalita Bahujana Party,3549,8,3557,0.27
8,GARA SURYA RAO,Independent,3116,8,3124,0.24
9,APPALA RAJU NAMMI,Bharatha Chaitanya Yuvajana Party,2589,30,2619,0.2
10,NAGESWARA RAO PETLA,Independent,2179,5,2184,0.16
11,ADARI SARAT CHANDRA,Jai Bharat National Party,1886,27,1913,0.14
12,VIJAYA LAKSHMI KARRI,Pyramid Party of India,1578,13,1591,0.12
13,DR. THUMMAPALA HARI SHANKAR,Independent,1567,9,1576,0.12
14,JUNNURI J SRINIVAS,Independent,1195,6,1201,0.09
15,APPALANAIDU TUMMAGUNTA,Independent,1055,7,1062,0.08
16,NOTA,None of the Above,26084,151,26235,1.98
1,TANGELLA UDAY SRINIVAS (TEA TIME UDAY),Janasena Party,718971,10728,729699,54.87
2,CHALAMALASETTY SUNIL,Yuvajana Sramika Rythu Congress Party,495188,5020,500208,37.62
3,MALLIPUDI MANGAPATI PALLAM RAJU,Indian National Congress,20258,851,21109,1.59
4,UDAY,Navarang Congress Party,15578,125,15703,1.18
5,KANDREGULA NARASIMHAM,Bahujan Samaj Party,11916,63,11979,0.9
6,DR ANUSHA YADAV,Bharatha Chaitanya Yuvajana Party,9818,36,9854,0.74
7,TANGELLA SRINIVASU,Jatiya Jana Sena Party,6516,43,6559,0.49
8,YEDIDA VARA PRASAD KUMAR,Republican Party of India (A),3924,3,3927,0.3
9,BUGATHA BANGARRAO,Communist Party of India (Marxist-Leninist) (Liberation),2816,7,2823,0.21
10,SUDHA VEERA GANESH,Independent,2645,2,2647,0.2
11,BHAVANI SANKAR PRASAD MERLA,Independent,1963,6,1969,0.15
12,YENUGUPALLI KRISHNA,Jaibhim Rao Bharat Party,1762,18,1780,0.13
13,BODDETI APPARAO,Independent,1687,0,1687,0.13
14,NEELAKANTAM DONAM,Independent,1401,11,1412,0.11
15,PASUPULETI S.V.S.BHUSHANAM,Independent,1222,5,1227,0.09
16,NOTA,None of the Above,17105,115,17220,1.29
1,G M HARISH (BALAYOGI),Telugu Desam,786149,10832,796981,61.25
2,RAPAKA VARAPRASADA RAO,Yuvajana Sramika Rythu Congress Party,450362,4423,454785,34.95
3,GOUTHAM JANGA,Indian National Congress,14523,559,15082,1.16
4,DORABABU YALLA,Bahujan Samaj Party,5202,186,5388,0.41
5,KATRU NAGA BABU,Telugu Nava Garjana Party,3736,5,3741,0.29
6,VADDI LALITH KUMAR,Independent,2974,3,2977,0.23
7,MAKEY DAVY PRASAD,Independent,2104,7,2111,0.16
8,GUDE VENKATESWARULU,Independent,1741,4,1745,0.13
9,RAMESH JILLELLA,Jatiya Jana Sena Party,866,6,872,0.07
10,YALANGI RAMESH,Jaibhim Rao Bharat Party,738,2,740,0.06
11,MATHA KRISHNA,Pyramid Party of India,718,1,719,0.06
12,GIDDI JNANA PRAKASA RAO,Republican Party of India,717,9,726,0.06
13,YADLA RAJESH,Liberation Congress Party,628,7,635,0.05
14,KAPA KALYAN,Republican Party of India (A),579,2,581,0.04
15,PATHURI RAMESH,Peoples Party of India (Democratic),502,3,505,0.04
16,NOTA,None of the Above,13418,100,13518,1.04
1,DAGGUBATI PURANDHESHWARI,Bharatiya Janata Party,718641,7874,726515,54.82
2,DR. GUDURI SRINIVAS,Yuvajana Sramika Rythu Congress Party,483172,4204,487376,36.77
3,GIDUGU RUDRARAJU,Indian National Congress,31441,1067,32508,2.45
4,GANESWARA RAO PARAMATA,Bahujan Samaj Party,20277,132,20409,1.54
5,BATTULA BALARAMAKRISHNA,Navarang Congress Party,16930,78,17008,1.28
6,SALOPANTULA RAGHAVENDRA RAO,Independent,3261,17,3278,0.25
7,DR. MEDISI RATNARAO ALIAS VINAY,Independent,3109,6,3115,0.24
8,MOHANARAO SINGULURI,Jai Bharat National Party,2818,15,2833,0.21
9,MEDA SRINIVASA RAO,Rashtriya Praja Congress (Secular),2422,7,2429,0.18
10,BOMMANABOINA VSR MURTHY,Independent,2173,6,2179,0.16
11,BHANU CHANDAR KURUVELLA,Independent,1955,3,1958,0.15
12,JALLI BALA NAVEENA,Independent,1250,4,1254,0.09
13,NOTA,None of the Above,24302,133,24435,1.84
1,BHUPATHI RAJU SRINIVASA VARMA (B.J.P.VARMA),Bharatiya Janata Party,699382,7961,707343,57.46
2,UMABALA GUDURI,Yuvajana Sramika Rythu Congress Party,426037,4504,430541,34.98
3,K.B.R.NAIDU,Indian National Congress,34298,915,35213,2.86
4,PRASANNA KUMAR UNDURTHI,Independent,6350,14,6364,0.52
5,MEDAPATI VENKATA VARAHALA REDDY,Independent,5966,3,5969,0.48
6,SIRRA RAJU,Bahujan Samaj Party,5945,69,6014,0.49
7,BALAGAM NAYAKAR,Independent,5232,8,5240,0.43
8,NALLI RAJESH,Independent,4684,0,4684,0.38
9,KETHA SREENU,Independent,3140,5,3145,0.26
10,OLETY NAGENDRA KRISHNA,Jaibhim Rao Bharat Party,3112,4,3116,0.25
11,ADDEPALLI VEERA VENKAT SUBBA RAO,Independent,2781,2,2783,0.23
12,ANAND CHANDULAL JASTI,Independent,2726,0,2726,0.22
13,GANJI PURNIMA,Republican Party of India (A),1645,4,1649,0.13
14,GEDALA LAXMANA RAO,Independent,1525,2,1527,0.12
15,ADDANKI DORABABU,Independent,1388,5,1393,0.11
16,GOTTUMUKKALA SHIVAJI,Independent,1378,6,1384,0.11
17,ADINARAYANA DUPPANAPUDI,Independent,1002,5,1007,0.08
18,MANNE LEELA RAMA NARENDRA,Pyramid Party of India,922,8,930,0.08
19,RAMA DURGA PRASAD THOLETI,Independent,919,1,920,0.07
20,RUKHMINI,Independent,683,3,686,0.06
21,ADABALA SIVA,Independent,682,1,683,0.06
22,NOTA,None of the Above,7554,123,7677,0.62
