S.No,Candidate,Party,EVM Votes,Postal Votes,Total Votes,Percentage of votes
1,GAURAV GOGOI,Indian National Congress,743194,8577,751771,54.04
2,TOPON KUMAR GOGOI,Bharatiya Janata Party,602019,5359,607378,43.66
3,ARUN CHANDRA HANDIQUE,Ekam Sanatan Bharat Dal,8998,88,9086,0.65
4,RAJ KUMAR DUWARA,Independent,8315,55,8370,0.6
5,NOTA,None of the Above,14477,78,14555,1.05
