S.No,Candidate,Party,EVM Votes,Postal Votes,Total Votes,Percentage of votes
7,DILLIP KUMAR BARAL,Independent,1605,6,1611,0.13
8,NOTA,None of the Above,7568,42,7610,0.64
1,APARAJITA SARANGI,Bharatiya Janata Party,509567,2952,512519,47.36
2,MANMATH KUMAR ROUTRAY,Biju Janata Dal,475990,1377,477367,44.11
3,SYED YASHIR NAWAZ,Indian National Congress,66045,317,66362,6.13
4,SURESH CHANDRA PANIGRAHY,Communist Party of India (Marxist),4134,14,4148,0.38
5,HULAS SENAPATI,Independent,2248,3,2251,0.21
6,KISHOR KUMAR SUTAR,Independent,2202,1,2203,0.2
7,SUDHANSU SEKHAR DAS,Independent,1751,7,1758,0.16
8,SANTOSH KUMAR MISHRA,Independent,1738,6,1744,0.16
9,SANGEETA PATTANAIK,Odisha Janata Party,1528,2,1530,0.14
10,PRADEEP KUMAR SAHOO,Kalinga Sena,1495,8,1503,0.14
11,SANTILATA ROUT,Supreme Zero Party of Bharat,1437,4,1441,0.13
12,NATABAR MAHARANA,Bharatiya Bikash Parishad,1080,7,1087,0.1
13,NOTA,None of the Above,8261,41,8302,0.77
1,ANITA SUBHADARSHINI,Bharatiya Janata Party,493032,1194,494226,48.55
2,RANJITA SAHU,Biju Janata Dal,393759,493,394252,38.73
3,DEBAKANTA SARMA,Indian National Congress,75108,147,75255,7.39
4,SANJAYA KUMAR BISHOYI,Independent,11234,6,11240,1.1
5,PAPUNU SAHU,Socialist Unity Centre Of India (COMMUNIST),8671,2,8673,0.85
6,PITABAS SAHU,Sanatan Sanskriti Raksha Dal,6888,0,6888,0.68
7,BRUNDABANA NAHAK,Bahujan Samaj Party,5430,9,5439,0.53
8,NOTA,None of the Above,21925,16,21941,2.16
1,JUAL ORAM,Bharatiya Janata Party,490655,3627,494282,42.77
2,DILIP KUMAR TIRKEY,Biju Janata Dal,353708,1766,355474,30.76
3,JANARDAN DEHURY,Indian National Congress,260681,1305,261986,22.67
4,JUSTIN LUGUN,Socialist Unity Centre Of India (COMMUNIST),9120,21,9141,0.79
5,JAGABANDHU ORAM,Independent,6023,4,6027,0.52
6,SUMANTA KUMAR SORENG,National Apni Party,4035,17,4052,0.35
7,SANTOSH JURA,Naba Bharata Nirmana Seva Party,3976,5,3981,0.34
8,PARUA EKKA,Jharkhand Party,3018,15,3033,0.26
9,NOTA,None of the Above,17752,49,17801,1.54
1,DR. PRADEEP KUMAR PANIGRAHY,Bharatiya Janata Party,510585,2517,513102,49.2
2,BHRUGU BAXIPATRA,Biju Janata Dal,346780,846,347626,33.33
3,RASMI RANJAN PATNAIK,Indian National Congress,129096,648,129744,12.44
4,V CHANDRA SHEKHAR,Independent,8376,3,8379,0.8
5,BHASKAR CHAUDHORY,Bahujan Samaj Party,5198,13,5211,0.5
6,SOMANATH BEHERA,Socialist Unity Centre Of India (COMMUNIST),5121,14,5135,0.49
7,SIRIN TAMMANA,Independent,5069,9,5078,0.49
8,BOMMALI KANTA RAO,Naba Bharata Nirmana Seva Party,4190,11,4201,0.4
9,RAM SANKAR SATAPATHY,Independent,3869,2,3871,0.37
10,RAJENDRA DALABEHERA,Bharatiya Bikash Parishad,2335,8,2343,0.22
11,SANTOSH KUMAR SAHU,All India Forward Bloc,2284,7,2291,0.22
12,NOTA,None of the Above,15903,39,15942,1.53
1,SAPTAGIRI SANKAR ULAKA,Indian National Congress,469295,2098,471393,41.03
2,KAUSALYA HIKAKA,Biju Janata Dal,322797,852,323649,28.17
3,KALIRAM MAJHI,Bharatiya Janata Party,230792,1722,232514,20.24
4,DAMINI JANI,Bahujan Samaj Party,15373,54,15427,1.34
5,PRAKASH HIKAKA,Communist Party of India (Marxist-Leninist) (Liberation),14847,5,14852,1.29
6,LASU HANTAL,Independent,14362,11,14373,1.25
7,RAGHUMANI GOMANGO,Independent,10528,12,10540,0.92
8,ABINASH GOMANGO,Independent,10258,16,10274,0.89
9,SUMAN KANTA,Naba Bharata Nirmana Seva Party,8386,10,8396,0.73
10,SANTOSH KUMAR BIDIKA,Republican Party of India (A),5413,2,5415,0.47
11,PRAMILA PUJARI,Socialist Unity Centre Of India (COMMUNIST),4866,12,4878,0.42
12,NOTA,None of the Above,37106,25,37131,3.23
1,DHARMENDRA PRADHAN,Bharatiya Janata Party,587827,4335,592162,49.48
2,PRANAB PRAKASH DAS,Biju Janata Dal,471198,1128,472326,39.47
3,NAGENDRA KUMAR PRADHAN,Indian National Congress,88573,540,89113,7.45
4,SADANAND RANBIDA,Bahujan Samaj Party,4776,19,4795,0.4
5,SRIRAM PANDEY,Independent,4700,2,4702,0.39
6,SHUSHIL KUMAR BABU,Independent,4298,5,4303,0.36
7,GNYANENDRA BEHERA,Independent,3331,3,3334,0.28
8,NABAKISHORE PRADHAN,Socialist Unity Centre Of India (COMMUNIST),3151,6,3157,0.26
9,ATMA RAM SUPKAR,Independent,2053,6,2059,0.17
10,PURUSHOTTAM PATRA,Kosal Janata Dal,1731,4,1735,0.14
11,RAKESH BAG,Bharatiya Nyay-Adhikar Raksha Party,1704,4,1708,0.14
12,SUBASH MOHAPATRA,National Jan Dal,1669,24,1693,0.14
13,LAXMAN KUMAR BHOI,Paschimanchal Vikas Party,1662,20,1682,0.14
14,KHAGESWAR BEHERA,Rashtriya Manav Party,1492,3,1495,0.12
15,NOTA,None of the Above,12451,32,12483,1.04
1,ANANTA NAYAK,Bharatiya Janata Party,571133,2790,573923,45.67
2,DHANURJAYA SIDU,Biju Janata Dal,476206,675,476881,37.95
3,BINOD BIHARI NAIK,Indian National Congress,104944,334,105278,8.38
4,JOHN MIRAN MUNDA,Independent,31729,7,31736,2.53
5,SAHEBA JUANGA,Manas Lokshakti Dal,11040,3,11043,0.88
6,SUSHANT KUMAR NAIK,Independent,9041,3,9044,0.72
7,LAMBODAR NAIK,Independent,6778,0,6778,0.54
8,HARIHAR MUNDA,Socialist Unity Centre Of India (COMMUNIST),6569,5,6574,0.52
9,RAGHUMANI NAIK,Independent,4550,6,4556,0.36
10,RAM PRASAD HEMBRAM,Bahujan Samaj Party,3884,11,3895,0.31
11,PITABASA NAIK,AJSU Party,2141,3,2144,0.17
12,NOTA,None of the Above,24746,17,24763,1.97
1,NABA CHARAN MAJHI,Bharatiya Janata Party,580579,5392,585971,49.91
2,SUDAM MARNDI,Biju Janata Dal,364745,1892,366637,31.23
3,ANJANI SOREN,Jharkhand Mukti Morcha,134713,686,135399,11.53
4,RABINDRA NATH SINGH,Independent,9282,42,9324,0.79
5,ASHOK KUMAR SING,Independent,8918,35,8953,0.76
6,JATIA SAWAYAN,Bahujan Samaj Party,8457,45,8502,0.72
7,SANTILATA CHATTAR,Independent,8448,29,8477,0.72
8,PITAMBAR NAIK,Socialist Unity Centre Of India (COMMUNIST),8070,44,8114,0.69
9,ANTA ALOK BASKEY,AJSU Party,5386,8,5394,0.46
10,BAJUN HANSDA,Independent,5304,18,5322,0.45
11,KANHU CHARAN TUDU,Independent,5103,35,5138,0.44
12,SUKANTA HEMBRAM,Bharatiya Nyay-Adhikar Raksha Party,3636,20,3656,0.31
13,GURU CHARAN HEMBRAM,Bharatheeya Jawan Kisan Party,3175,35,3210,0.27
14,NOTA,None of the Above,19853,100,19953,1.7
1,PRATAP CHANDRA SARANGI,Bharatiya Janata Party,561590,2275,563865,45.49
2,LEKHASRI SAMANTSINGHAR,Biju Janata Dal,415917,792,416709,33.62
3,SHRIKANTA JENA,Indian National Congress,236081,926,237007,19.12
4,RAJAT KUMAR BEHERA,Bahujan Samaj Party,2913,7,2920,0.24
5,GOBINDA CHANDRA BHOI,National Apni Party,2640,0,2640,0.21
6,SURYAKANTA DASMOHAPATRA,Independent,2156,5,2161,0.17
7,MAHAMEGHABAHAN AIRA KHARABELA SWAIN,Independent,1863,5,1868,0.15
8,PRAMOD KUMAR PATTAYAT,Independent,1637,2,1639,0.13
9,BIREN PUHAN,Krupaa Party,1450,2,1452,0.12
10,DEEPAK SANKAR THAKUR GIRI,Independent,1191,3,1194,0.1
11,AKHIL KUMAR MOHANTA,Independent,829,1,830,0.07
12,NOTA,None of the Above,7333,17,7350,0.59
1,AVIMANYU SETHI,Bharatiya Janata Party,569705,3614,573319,44.19
2,MANJULATA MANDAL,Biju Janata Dal,480105,1670,481775,37.13
3,ANANTA PRASAD SETHI,Indian National Congress,221020,854,221874,17.1
4,KIRTAN BIHARI MALIK,Socialist Unity Centre Of India (COMMUNIST),4879,1,4880,0.38
5,ADV. ARJUN CHARAN MALLIK,Bahujan Samaj Party,3581,23,3604,0.28
6,ANJAN DAS,Ambedkarite Party of India,3512,5,3517,0.27
7,BASANTA KUMAR MAHALIK,Independent,1527,3,1530,0.12
8,SARBESWAR BEHERA,Independent,1397,3,1400,0.11
9,NOTA,None of the Above,5457,21,5478,0.42
1,SARMISTHA SETHI,Biju Janata Dal,529428,3224,532652,45.87
2,RABINDRA NARAYAN BEHERA,Bharatiya Janata Party,528959,5280,534239,46.01
3,ANCHAL DAS,Indian National Congress,52455,690,53145,4.58
4,SUBASH CHANDRA MALLIK,Socialist Unity Centre Of India (COMMUNIST),17955,52,18007,1.55
5,ER. SANDHYA RANI MALLICK,Bahujan Samaj Party,3189,29,3218,0.28
6,BHAIRABA PRASAD BEHERA,Independent,2398,5,2403,0.21
7,SUMANTA MALIK,Independent,2295,6,2301,0.2
8,BIDYADHAR DALEI,Ambedkarite Party of India,2172,0,2172,0.19
