S.No,Candidate,Party,EVM Votes,Postal Votes,Total Votes,Percentage of votes
4,TARARAM MEHNA,Independent,49768,189,49957,2.96
5,PRATAPA RAM,Independent,8282,36,8318,0.49
6,HANIPH,Independent,7755,5,7760,0.46
7,LEELA RAM,Bahujan Samaj Party,7557,28,7585,0.45
8,PRABHU RAM,Aazad Samaj Party (Kanshi Ram),6381,15,6396,0.38
9,RAMA RAM,Independent,6031,10,6041,0.36
10,POPAT LAL,Independent,3117,42,3159,0.19
11,DEVILAL JAIN,Independent,3016,7,3023,0.18
12,NOTA,None of the Above,17893,10,17903,1.06
1,LUMBARAM,Bharatiya Janata Party,793705,3078,796783,54.91
2,VAIBHAV GEHLOT,Indian National Congress,592204,3036,595240,41.02
3,OTARAM,Bharat Adivasi Party,10077,32,10109,0.7
4,SHAKUR,Independent,9866,6,9872,0.68
5,MOTI LAL,Aazad Samaj Party (Kanshi Ram),4579,7,4586,0.32
6,RAMESH KUMAR BHANDARI,Independent,3909,1,3910,0.27
7,DEVARAM,Independent,3126,8,3134,0.22
8,KALURAM MEGHWAL,Independent,2258,5,2263,0.16
9,DINESH SINGH,Independent,2094,11,2105,0.15
10,TIKMA RAM BHATI,Bheem Tribal Congress,1653,7,1660,0.11
11,DALARAM,Independent,1493,15,1508,0.1
12,FOJARAM,Indian Peoples Green Party,1493,4,1497,0.1
13,NOTA,None of the Above,18439,20,18459,1.27
1,MANNA LAL RAWAT,Bharatiya Janata Party,732757,5529,738286,49.27
2,TARACHAND MEENA,Indian National Congress,473167,3511,476678,31.81
3,PRAKASH CHAND,Bharat Adivasi Party,215390,1748,217138,14.49
4,DALPAT RAM GARASIA,Bahujan Samaj Party,14427,33,14460,0.97
5,DR. SAVITA KUMARI AHARI,Independent,8130,32,8162,0.54
6,PRABHULAL MEENA,Independent,7972,24,7996,0.53
7,RAJENDRA KUMAR MEENA,Indian Peoples Green Party,6752,25,6777,0.45
8,KANJI LAL DAMOR,Independent,5912,19,5931,0.4
9,NOTA,None of the Above,22848,100,22948,1.53
1,ARJUN RAM MEGHWAL,Bharatiya Janata Party,561240,5497,566737,50.68
2,GOVINDRAM MEGHWAL,Indian National Congress,506966,4060,511026,45.7
3,KHETA RAM,Bahujan Samaj Party,8249,50,8299,0.74
4,ATMA RAM GUJARATI,Independent,6267,14,6281,0.56
5,RATANI DEVI,Independent,3894,32,3926,0.35
6,SATYANARAYAN DEVRA,Independent,2958,8,2966,0.27
7,PUKHRAJ NAYAK,Independent,2621,54,2675,0.24
8,BABU LAL,Independent,2010,9,2019,0.18
9,GOPI CHAND MEGHWAL,Independent,1787,8,1795,0.16
10,NOTA,None of the Above,12431,127,12558,1.12
1,RAJ KUMAR ROAT,Bharat Adivasi Party,815430,5401,820831,50.15
2,MAHENDRAJEETSINGH MALVIYA,Bharatiya Janata Party,568589,5188,573777,35.05
3,RAJKUMAR S/O HIRALAL,Independent,74551,47,74598,4.56
4,ARVIND SITA DAMOR,Indian National Congress,60917,294,61211,3.74
5,RAJKUMAR S/O PREMJI,Independent,41742,48,41790,2.55
6,BANSHILAL AHARI,Independent,17884,12,17896,1.09
7,SHANKARLAL BAMANIYA,Indian Peoples Green Party,17169,19,17188,1.05
8,DILEEP KUMAR MEENA,Bahujan Samaj Party,8573,18,8591,0.52
9,NOTA,None of the Above,20892,78,20970,1.28
1,CHANDRA PRAKASH JOSHI,Bharatiya Janata Party,882334,5868,888202,59.26
2,ANJANA UDAILAL,Indian National Congress,495177,3148,498325,33.25
3,BHIL ADIVASI MANGILAL NANAMA,Bharat Adivasi Party,42243,568,42811,2.86
4,RAMESHWAR LAL BAIRWA (INDORA),Independent,9536,3,9539,0.64
5,KUMAWAT RAMESH CHANDRA,Independent,8834,8,8842,0.59
6,MEGHWAL RADHESHYAM,Bahujan Samaj Party,8578,35,8613,0.57
7,SHYAM LAL MEGHWAL,Independent,7901,6,7907,0.53
8,BAPU LAL ANJANA,Independent,7837,9,7846,0.52
9,PRAKASH DHAKAR,Ekam Sanatan Bharat Dal,3915,10,3925,0.26
10,PRATAP SINGH,Independent,3342,5,3347,0.22
11,AZAD PRAKASH CHANDRA MEGHWAL,Akhil Bharatiya Congress Dal (Ambedkar),2764,13,2777,0.19
12,JOGENDRA SINGH HODA,Independent,2294,8,2302,0.15
13,GAJENDRA,Independent,1637,7,1644,0.11
14,KALYAN SINGH BHATI,Independent,1544,18,1562,0.1
15,MAHAVIR PRASAD KUMAWAT,Right to Recall Party,1539,10,1549,0.1
16,KAMAL,Independent,1490,8,1498,0.1
17,MOHAMMAD WAHID KHAN,Pehchan People’s Party,1216,12,1228,0.08
18,SITA RAM AHIR,Vishva Shakti Party,1203,23,1226,0.08
19,NOTA,None of the Above,5518,72,5590,0.37
1,MAHIMA KUMARI MEWAR,Bharatiya Janata Party,775243,5960,781203,64.4
2,DR. DAMODAR GURJAR,Indian National Congress,385359,3621,388980,32.06
3,RAMAKISHAN BHADU,Bahujan Samaj Party,9097,38,9135,0.75
4,NEERU RAM KAPRI,Independent,7820,11,7831,0.65
5,DHARAM SINGH RAWAT,Independent,3993,60,4053,0.33
6,NARAYAN SONI,Independent,3367,7,3374,0.28
7,GHANSHYAM SINGH,Bhartiya Jan Adhikar Party,1917,23,1940,0.16
8,JITENDRA KUMAR KHATIK,Independent,1802,13,1815,0.15
9,DR. ARPIT CHHAJER,Independent,1235,9,1244,0.1
10,PRAMOD KUMAR VERMA,Bheem Tribal Congress,1134,10,1144,0.09
11,NOTA,None of the Above,12339,72,12411,1.02
1,DAMODAR AGARWAL,Bharatiya Janata Party,803193,4447,807640,61.92
2,C P JOSHI,Indian National Congress,449528,3506,453034,34.73
3,RAMESHWAR LAL BAIRWA,Bahujan Samaj Party,8243,40,8283,0.64
4,RAJESH PATNI,Independent,8013,5,8018,0.61
5,JAYKISHAN,Viro Ke Vir Indian Party,4061,23,4084,0.31
6,MOTILAL SINGHANIA,Independent,3871,16,3887,0.3
7,NARAYAN LAL JAT,Independent,1643,41,1684,0.13
8,PAWAN KUMAR SHARMA,Right to Recall Party,1609,8,1617,0.12
9,ANURAG AROT,Independent,1406,19,1425,0.11
10,VIJAY KUMAR SONI,Bhartiya Garib Vikas Kalyan Party,1340,7,1347,0.1
11,NOTA,None of the Above,13337,39,13376,1.03
1,OM BIRLA,Bharatiya Janata Party,744396,6100,750496,50.03
2,PRAHLAD GUNJAL,Indian National Congress,702623,5899,708522,47.23
3,DHANRAJ YADAV,Bahujan Samaj Party,7547,28,7575,0.5
4,ASHISH YOGI,Ekam Sanatan Bharat Dal,5756,19,5775,0.38
5,LAKSHMICHAND,Independent,3890,2,3892,0.26
6,SATYENDRA KUMAR JAIN,Independent,2520,1,2521,0.17
7,RAMNATH MEHRA,Independent,2407,15,2422,0.16
